epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0173,1.53739,3.83727,1.23381,0.01694,0.17735,0.03372,0.01513,1.59399,4.0169,1.08142,0.000253047,0.000253047,0.000253047
2,125.632,1.01811,2.07381,0.94624,0.61916,0.46463,0.50307,0.39114,0.80633,1.43903,0.89459,0.000499295,0.000499295,0.000499295
3,188.038,0.81473,1.27856,0.90064,0.78584,0.67255,0.67557,0.55622,0.72096,1.30964,0.87777,0.000735391,0.000735391,0.000735391
4,275.16,0.75864,1.06799,0.883,0.81333,0.73128,0.71094,0.5948,0.65113,0.95033,0.85405,0.000723321,0.000723321,0.000723321
5,1645.44,0.68272,0.96273,0.87263,0.82767,0.74013,0.72807,0.56733,0.75665,0.87932,0.87908,0.000708095,0.000708095,0.000708095
6,1711.26,0.64682,0.91059,0.85871,0.83492,0.72995,0.78312,0.61793,0.73263,0.83527,0.87169,0.000692869,0.000692869,0.000692869
7,1775.25,0.62333,0.86929,0.85576,0.77601,0.80749,0.78943,0.51928,1.08259,0.88931,0.96619,0.000677643,0.000677643,0.000677643
8,1849.96,0.60146,0.83479,0.84789,0.80979,0.81175,0.79354,0.68952,0.56109,0.82162,0.83684,0.000662417,0.000662417,0.000662417
9,1948.97,0.57385,0.8172,0.84623,0.82959,0.79595,0.79616,0.61746,0.73013,0.82387,0.8746,0.00064719,0.00064719,0.00064719
10,3547.08,0.55899,0.80151,0.83692,0.83917,0.79828,0.80523,0.68617,0.58424,0.85532,0.84235,0.000631964,0.000631964,0.000631964
11,10455.7,0.54901,0.76754,0.83994,0.8519,0.76561,0.80424,0.68357,0.56778,0.80146,0.8419,0.000616738,0.000616738,0.000616738
12,10520.5,0.52263,0.7424,0.83116,0.78554,0.79974,0.80901,0.70168,0.53233,0.75361,0.83283,0.000601512,0.000601512,0.000601512
13,10597.9,0.51924,0.73935,0.83119,0.78792,0.81221,0.80807,0.70651,0.54058,0.72767,0.8342,0.000586286,0.000586286,0.000586286
14,10674.9,0.49817,0.7244,0.82809,0.78859,0.80446,0.81267,0.72574,0.49123,0.7189,0.82466,0.000571059,0.000571059,0.000571059
15,10749.7,0.48973,0.69678,0.82604,0.82841,0.78804,0.8158,0.73444,0.50829,0.6935,0.82771,0.000555833,0.000555833,0.000555833
16,10834.6,0.50091,0.7088,0.82772,0.84777,0.78974,0.81571,0.70225,0.54739,0.70532,0.8341,0.000540607,0.000540607,0.000540607
17,10912.5,0.47405,0.68037,0.82417,0.8056,0.81614,0.80913,0.70605,0.58818,0.75236,0.84086,0.000525381,0.000525381,0.000525381
18,10984.6,0.48411,0.67715,0.82287,0.83791,0.7879,0.8148,0.71703,0.51593,0.71822,0.82924,0.000510155,0.000510155,0.000510155
19,11059.1,0.46487,0.67684,0.82087,0.82457,0.80056,0.80739,0.71314,0.52623,0.69467,0.82721,0.000494928,0.000494928,0.000494928
20,11135.3,0.45832,0.66539,0.82092,0.76745,0.81312,0.8099,0.66152,0.67457,0.71835,0.86254,0.000479702,0.000479702,0.000479702
21,11215.2,0.47276,0.6666,0.82217,0.83793,0.79643,0.81634,0.74838,0.4532,0.74187,0.81836,0.000464476,0.000464476,0.000464476
22,11292.7,0.4451,0.63887,0.81921,0.80073,0.82639,0.8148,0.74566,0.45928,0.65935,0.81864,0.00044925,0.00044925,0.00044925
23,11367.2,0.46164,0.63286,0.82023,0.78891,0.82076,0.81606,0.69992,0.58874,0.70168,0.84331,0.000434024,0.000434024,0.000434024
24,11445.5,0.44196,0.62791,0.81442,0.83222,0.81027,0.81984,0.71552,0.52822,0.6896,0.83016,0.000418797,0.000418797,0.000418797
25,11522.8,0.43282,0.61392,0.81476,0.82741,0.82587,0.81884,0.7501,0.44937,0.65046,0.81644,0.000403571,0.000403571,0.000403571
26,11602.2,0.42798,0.61821,0.81664,0.82852,0.81063,0.81755,0.73842,0.47305,0.65816,0.82095,0.000388345,0.000388345,0.000388345
27,11678.9,0.4293,0.60535,0.81635,0.848,0.78488,0.816,0.75039,0.44567,0.6519,0.81664,0.000373119,0.000373119,0.000373119
28,11746.2,0.41564,0.59588,0.81294,0.8357,0.81591,0.81719,0.74038,0.46551,0.63934,0.81958,0.000357893,0.000357893,0.000357893
29,11815.7,0.41669,0.5838,0.8113,0.83179,0.82579,0.81132,0.71273,0.54292,0.66528,0.83183,0.000342666,0.000342666,0.000342666
30,11893.9,0.42906,0.58785,0.81204,0.84442,0.8173,0.81744,0.74291,0.47491,0.66192,0.82155,0.00032744,0.00032744,0.00032744
31,11971.6,0.40122,0.57497,0.80897,0.79951,0.8314,0.82203,0.74404,0.48253,0.64948,0.82222,0.000312214,0.000312214,0.000312214
32,12058.3,0.41341,0.57604,0.81287,0.83981,0.821,0.81757,0.73603,0.4862,0.63082,0.82133,0.000296988,0.000296988,0.000296988
33,12130.1,0.40353,0.56961,0.80851,0.82578,0.81832,0.81365,0.73426,0.4762,0.64557,0.82165,0.000281762,0.000281762,0.000281762
34,12192.1,0.39644,0.56643,0.81076,0.82202,0.8175,0.81392,0.75638,0.44193,0.6501,0.81487,0.000266535,0.000266535,0.000266535
35,12243.1,0.40111,0.55615,0.8107,0.82702,0.81598,0.81283,0.74352,0.45968,0.66046,0.81747,0.000251309,0.000251309,0.000251309
36,12293.4,0.39082,0.55349,0.80995,0.81365,0.81585,0.81316,0.74339,0.45717,0.64946,0.81805,0.000236083,0.000236083,0.000236083
37,12343.7,0.37921,0.5376,0.80864,0.81637,0.81881,0.81752,0.75996,0.43312,0.61696,0.81282,0.000220857,0.000220857,0.000220857
38,12393.2,0.3806,0.53948,0.80609,0.84542,0.79177,0.81788,0.72885,0.52076,0.65347,0.82423,0.000205631,0.000205631,0.000205631
39,12444.2,0.38288,0.5375,0.80703,0.83839,0.81742,0.81746,0.75575,0.42676,0.66551,0.81234,0.000190404,0.000190404,0.000190404
40,12499.8,0.36837,0.53006,0.80893,0.81681,0.82763,0.81811,0.74767,0.45085,0.64849,0.81533,0.000175178,0.000175178,0.000175178
41,12550.7,0.35973,0.51949,0.8058,0.82593,0.82802,0.81606,0.75062,0.43322,0.63775,0.81382,0.000159952,0.000159952,0.000159952
42,12601.1,0.36408,0.51689,0.80438,0.83443,0.78687,0.8158,0.75176,0.42772,0.65856,0.81114,0.000144726,0.000144726,0.000144726
43,12652.1,0.36202,0.51252,0.8018,0.8206,0.82136,0.81382,0.75353,0.41857,0.63815,0.80992,0.0001295,0.0001295,0.0001295
44,12703.4,0.35707,0.50072,0.80161,0.83086,0.80155,0.81133,0.74313,0.44312,0.6545,0.81235,0.000114273,0.000114273,0.000114273
45,12753.5,0.35243,0.50097,0.80339,0.82314,0.81745,0.81312,0.74589,0.44389,0.64339,0.81368,9.90472e-05,9.90472e-05,9.90472e-05
46,12803.6,0.3518,0.49628,0.80307,0.83339,0.81584,0.81065,0.75396,0.42456,0.64144,0.80995,8.3821e-05,8.3821e-05,8.3821e-05
47,12856.3,0.3483,0.49489,0.80359,0.83657,0.82219,0.81443,0.75818,0.40683,0.6434,0.80842,6.85948e-05,6.85948e-05,6.85948e-05
48,12908.4,0.34542,0.4911,0.8036,0.82665,0.82207,0.8167,0.75824,0.42432,0.64671,0.81098,5.33686e-05,5.33686e-05,5.33686e-05
49,12958.7,0.34229,0.4863,0.80301,0.8335,0.81845,0.81842,0.76062,0.41177,0.64475,0.80909,3.81424e-05,3.81424e-05,3.81424e-05
50,13009.2,0.33893,0.47927,0.79746,0.82884,0.82003,0.81989,0.75575,0.43355,0.6414,0.81207,2.29162e-05,2.29162e-05,2.29162e-05
